genre,dtg,mpaa,releasedate,budget,runtime,title
Thriller,64521,Unrated,2015-01-23 00:00:00,nan,104,The Duke of Burgundy
Musical,63675,Unrated,2015-09-18 00:00:00,nan,119,The Office
Drama,61568,Unrated,2015-10-30 00:00:00,nan,99,Flowers
Romantic Comedy,20059210,PG,1994-10-07 00:00:00,nan,109,Only You
Foreign,60765,Unrated,2015-01-30 00:00:00,nan,112,Girlhood
Foreign,60231,Unrated,2015-03-20 00:00:00,nan,109,Jauja
Drama,58738,R,2015-10-23 00:00:00,nan,85,I Smile Back
Comedy,54075,Unrated,2015-06-19 00:00:00,nan,106,The Ark of Mr. Chow
Documentary,41149,Unrated,2015-02-19 00:00:00,nan,76,Love Thy Nature
Crime,50162,Unrated,2015-10-23 00:00:00,nan,117,The Advocate: A Missing Body
Action Thriller,50136,R,2015-11-13 00:00:00,8900000,93,Heist
Drama,0,Unrated,2015-10-23 00:00:00,nan,99,Difret
Comedy,46912,Unrated,2015-01-16 00:00:00,nan,88,Appropriate Behavior
Drama,45895,R,2015-04-17 00:00:00,nan,91,Beyond the Reach
Western,44903,R,2015-02-27 00:00:00,nan,90,The Salvation
Foreign,1942423,PG-13,1991-12-27 00:00:00,nan,143,Madame Bovary
Foreign,42937,Unrated,2015-06-05 00:00:00,nan,108,Charlie's Country
Documentary,42166,Unrated,2015-10-23 00:00:00,nan,82,Pearl Button
Drama,41297,Unrated,2015-02-18 00:00:00,nan,115,Queen and Country
Action Thriller,40516,Unrated,2015-11-06 00:00:00,nan,115,The Phone
Documentary,40119,Unrated,2015-11-06 00:00:00,nan,92,What Our Fathers Did: A Nazi Legacy
Drama / Thriller,38263,R,2015-07-17 00:00:00,nan,94,Lila & Eve
Comedy / Drama,37151,PG-13,2015-09-04 00:00:00,nan,96,Before We Go
Foreign,37134,Unrated,2015-03-06 00:00:00,nan,90,The Mafia Only Kills in Summer
Horror Thriller,36336,R,2015-10-09 00:00:00,nan,99,Knock Knock
Drama,36190,NC-17,2015-07-31 00:00:00,nan,119,Kindergarten Teacher
Documentary,36010,Unrated,2015-09-09 00:00:00,nan,85,Welcome to Leith
Action / Crime,34866,Unrated,2015-07-31 00:00:00,nan,120,Wild City
Comedy / Drama,34404,Unrated,2015-10-07 00:00:00,nan,130,The Forbidden Room
Drama,32251,PG-13,2015-01-23 00:00:00,nan,86,Song One
Foreign,32211,Unrated,2015-01-23 00:00:00,nan,118,Love Forecast
Drama,31539,Unrated,2015-11-06 00:00:00,nan,729,"Out 1, noli me tangere"
Documentary,30407,R,2015-06-19 00:00:00,nan,98,"3 1/2 Minutes, 10 Bullets"
Crime Comedy,29494,R,2015-08-14 00:00:00,nan,87,Paulette
Drama,28066,Unrated,2015-09-18 00:00:00,nan,138,The Cut
Drama,27166,R,2015-09-25 00:00:00,nan,95,The Keeping Room
Action Thriller,24572,PG-13,2015-06-26 00:00:00,nan,110,Big Game
Action Thriller,24296,R,2015-04-10 00:00:00,nan,90,Kill Me Three Times
Drama,23050,Unrated,2015-06-19 00:00:00,nan,102,"Hippocrates, Diary of a French Doctor"
Foreign,22898,Unrated,2015-07-15 00:00:00,nan,116,Court
Foreign,22480,Unrated,2015-04-10 00:00:00,nan,112,Salut D'Amour
Documentary,21130,Unrated,2015-12-18 00:00:00,nan,100,Noma - My Perfect Storm
Comedy,0,Unrated,2015-06-26 00:00:00,nan,95,The Little Death
Foreign / Action,18022,Unrated,2015-02-06 00:00:00,nan,135,Gangnam 1970
Drama,17663,Unrated,2015-11-20 00:00:00,nan,107,Mediterranea
Drama / Thriller,17472,R,2015-07-10 00:00:00,nan,112,Strangerland
Foreign,16831,Unrated,2015-02-27 00:00:00,nan,128,Eastern Boys
Thriller,16775,R,2015-12-18 00:00:00,nan,83,Extraction
Foreign,16738,PG-13,2015-03-13 00:00:00,nan,94,Eva
Thriller,0,Unrated,2015-12-04 00:00:00,nan,119,The World of Kanako
Horror Comedy,14947,R,2015-03-20 00:00:00,nan,76,Zombeavers
Horror,13906,Unrated,2015-11-06 00:00:00,nan,97,The Hallow
Foreign,13702,Unrated,2015-03-18 00:00:00,nan,96,Amour Fou
Drama,0,Unrated,2015-12-04 00:00:00,nan,125,Arabian Nights: Volume 1 - The Restless One
Foreign,11894,Unrated,2015-03-06 00:00:00,nan,81,Of Horses and Men
Foreign,0,Unrated,2015-05-01 00:00:00,nan,95,Marie's Story
Drama,10983,Unrated,2015-05-08 00:00:00,nan,93,1001 Grams
Foreign,10654,Unrated,2015-03-06 00:00:00,nan,113,Empire of Lust
Documentary,10172,Unrated,2015-03-27 00:00:00,nan,100,The Forecaster
Comedy / Drama,9481,Unrated,2015-01-16 00:00:00,nan,92,Still Life
Foreign,9045,Unrated,2015-03-04 00:00:00,nan,105,The Lesson
Drama,8994,Unrated,2015-08-28 00:00:00,nan,102,An Eye for Beauty
Music Drama,8886,R,2015-10-02 00:00:00,nan,102,Northern Soul
Drama,8245,Unrated,2015-12-11 00:00:00,nan,88,The Girl in the Book
Drama,8034,Unrated,2015-12-04 00:00:00,nan,118,Every Thing Will be Fine
Documentary,8025,Unrated,2015-07-17 00:00:00,nan,135,Steak
Documentary,7424,Unrated,2015-02-06 00:00:00,nan,77,On the Way to School
Drama,6921,Unrated,2015-06-05 00:00:00,nan,109,Hungry Hearts
Documentary,6843,Unrated,2015-11-13 00:00:00,nan,102,Steve McQueen: The Man & Le Mans
Drama,0,Unrated,2015-12-11 00:00:00,nan,131,Arabian Nights: Volume 2 - The Desolate One
Thriller,6334,Unrated,2015-07-17 00:00:00,nan,93,Alleluia
Action / Adventure,6075,PG-13,2015-04-30 00:00:00,nan,96,Barely Lethal
Comedy,5587,Unrated,2015-05-01 00:00:00,nan,103,Chic!
Foreign,5336,Unrated,2015-05-01 00:00:00,nan,101,Far from Men
Action,5240,R,2015-04-17 00:00:00,nan,107,The Dead Lands
Comedy,4704,PG-13,2015-07-31 00:00:00,nan,94,Jenny's Wedding
Adventure,4646,PG,2015-01-23 00:00:00,nan,100,Against the Sun
Comedy / Drama,4631,R,2015-09-25 00:00:00,nan,100,Ashby
Foreign,0,Unrated,2015-12-18 00:00:00,nan,125,Arabian Nights: Volume 3 - The Enchanted One
Drama,4480,Unrated,2015-11-20 00:00:00,nan,88,The Summer of Sangaile
Drama,4444,R,2015-05-29 00:00:00,nan,83,Club Life
Animation,4351,Unrated,2015-06-12 00:00:00,nan,86,Back to the Jurassic
Documentary,3643,Unrated,2015-11-06 00:00:00,nan,81,In the Basement
Documentary,0,Unrated,2015-07-31 00:00:00,nan,90,That Sugar Film
Drama,3181,Unrated,2015-10-09 00:00:00,nan,123,Xenia
Documentary,3159,Unrated,2015-08-21 00:00:00,nan,83,The Iron Ministry
Thriller,2167,Unrated,2015-12-18 00:00:00,nan,93,The Lady in the Car with Glasses and a Gun
Drama,1505,Unrated,2015-07-10 00:00:00,nan,110,Stations of the Cross
Action,1242,R,2015-05-08 00:00:00,nan,95,Skin Trade
Comedy,889,Unrated,2015-12-11 00:00:00,nan,98,Thanks to My Friends
Foreign / Horror,837,R,2015-01-02 00:00:00,nan,96,REC 4: Apocalypse
Foreign,724,Unrated,2015-01-09 00:00:00,nan,93,It's All So Quiet
Foreign,697,Unrated,2015-03-13 00:00:00,nan,102,Tough Being Loved By Jerks
Drama,315,Unrated,2015-05-29 00:00:00,nan,90,The Chambermaid
Sci-Fi Action,245439076,PG-13,2014-06-27 00:00:00,210000000,165,Transformers: Age of Extinction
Fantasy,255119788,PG-13,2014-12-17 00:00:00,nan,144,The Hobbit: The Battle of the Five Armies
Action / Adventure,333176600,PG-13,2014-08-01 00:00:00,170000000,121,Guardians of the Galaxy
Fantasy,241410378,PG,2014-05-30 00:00:00,180000000,97,Maleficent
Action / Adventure,337135885,PG-13,2014-11-21 00:00:00,125000000,123,The Hunger Games: Mockingjay - Part 1
Action / Adventure,233921534,PG-13,2014-05-23 00:00:00,200000000,131,X-Men: Days of Future Past
Action / Adventure,259766572,PG-13,2014-04-04 00:00:00,170000000,136,Captain America: The Winter Soldier
Sci-Fi Action,208545589,PG-13,2014-07-11 00:00:00,170000000,130,Dawn of the Planet of the Apes
Action / Adventure,202853933,PG-13,2014-05-02 00:00:00,nan,142,The Amazing Spider-Man 2
Sci-Fi Adventure,188020017,PG-13,2014-11-05 00:00:00,165000000,169,Interstellar
Animation,222527828,PG,2014-11-07 00:00:00,165000000,108,Big Hero 6
Animation,177002924,PG,2014-06-13 00:00:00,145000000,105,How to Train Your Dragon 2
Drama,350126372,R,2014-12-25 00:00:00,58800000,132,American Sniper
Sci-Fi Action,200676069,PG-13,2014-05-16 00:00:00,160000000,123,Godzilla
Animation,131538435,G,2014-04-11 00:00:00,103000000,101,Rio 2
Action / Adventure,191204754,PG-13,2014-08-08 00:00:00,125000000,101,Teenage Mutant Ninja Turtles
Animation,257760692,PG,2014-02-07 00:00:00,60000000,100,The LEGO Movie
Sci-Fi Action,126663600,R,2014-07-25 00:00:00,40000000,90,Lucy
Animation,83350911,PG,2014-11-26 00:00:00,132000000,92,Penguins of Madagascar
Sci-Fi Action,100206256,PG-13,2014-06-06 00:00:00,178000000,113,Edge of Tomorrow
Thriller,167767189,R,2014-10-03 00:00:00,61000000,145,Gone Girl
Family Adventure,113746621,PG,2014-12-19 00:00:00,127000000,97,Night at the Museum: Secret of the Tomb
Drama,101200044,PG-13,2014-03-28 00:00:00,125000000,138,Noah
Sci-Fi Thriller,102427862,PG-13,2014-09-19 00:00:00,34000000,113,The Maze Runner
Period Action,106580051,R,2014-03-07 00:00:00,110000000,102,300: Rise of An Empire
Action Comedy,191719337,R,2014-06-13 00:00:00,50000000,112,22 Jump Street
Drama,124872350,PG-13,2014-06-06 00:00:00,12000000,125,The Fault in our Stars
Action / Adventure,150947895,PG-13,2014-03-21 00:00:00,85000000,143,Divergent
Animation,111506430,PG,2014-03-07 00:00:00,145000000,90,Mr. Peabody & Sherman
Comedy,150157400,R,2014-05-09 00:00:00,18000000,96,Neighbors
Drama,65014513,PG-13,2014-12-12 00:00:00,140000000,150,Exodus: Gods and Kings
Horror,84273813,R,2014-10-03 00:00:00,6500000,95,Annabelle
Action / Adventure,72688614,PG-13,2014-07-25 00:00:00,100000000,98,Hercules
Sci-Fi Action,58607007,PG-13,2014-02-12 00:00:00,100000000,108,RoboCop
Drama,91125683,PG-13,2014-11-28 00:00:00,nan,114,The Imitation Game
Thriller,92168600,PG-13,2014-02-28 00:00:00,50000000,110,Non-Stop
Action Horror,56280355,PG-13,2014-10-10 00:00:00,70000000,92,Dracula Untold
Musical,128002372,PG,2014-12-25 00:00:00,50000000,124,Into the Woods
War,85817906,R,2014-10-17 00:00:00,68000000,134,Fury
Action,39322544,PG-13,2014-08-15 00:00:00,nan,103,The Expendables 3
Action,43577636,PG-13,2014-03-14 00:00:00,66000000,130,Need for Speed
Comedy,83911193,PG-13,2014-04-25 00:00:00,40000000,109,The Other Woman
Thriller,101530738,R,2014-09-26 00:00:00,55000000,128,The Equalizer
Comedy,59301324,R,2014-03-07 00:00:00,25000000,100,The Grand Budapest Hotel
Comedy,86208010,PG-13,2014-11-14 00:00:00,40000000,110,Dumb and Dumber To
War Drama,115637895,PG-13,2014-12-25 00:00:00,65000000,137,Unbroken
Thriller,47602194,PG-13,2014-08-08 00:00:00,50000000,89,Into The Storm
Action Drama,78031620,PG-13,2014-02-07 00:00:00,70000000,110,The Monuments Men
Comedy,134938200,PG-13,2014-01-17 00:00:00,25000000,100,Ride Along
Animation,59165787,PG,2014-07-18 00:00:00,50000000,83,Planes: Fire & Rescue
Action Comedy,82390774,R,2014-08-13 00:00:00,17000000,104,Let's Be Cops
Action Thriller,50577412,PG-13,2014-01-17 00:00:00,60000000,100,Jack Ryan: Shadow Recruit
Musical,85911262,PG,2014-12-19 00:00:00,65000000,118,Annie
Romantic Comedy,46294610,PG-13,2014-05-23 00:00:00,40000000,117,Blended
Comedy,38543473,R,2014-07-18 00:00:00,40000000,94,Sex Tape
Drama,35893537,PG-13,2014-11-07 00:00:00,15000000,123,The Theory of Everything
Animation,64251541,PG,2014-01-17 00:00:00,42000000,86,The Nut Job
Animation,5209580,PG-13,2014-02-21 00:00:00,nan,126,The Wind Rises
Action Drama,23219748,PG-13,2014-02-21 00:00:00,100000000,102,Pompeii
Foreign,2589811,Unrated,2014-08-08 00:00:00,nan,127,The Admiral: Roaring Currents
Thriller,71962800,R,2014-07-18 00:00:00,9000000,103,The Purge: Anarchy
Animation,50837305,PG,2014-09-26 00:00:00,60000000,97,The Boxtrolls
Comedy,54445357,R,2014-11-26 00:00:00,42000000,108,Horrible Bosses 2
Horror,50856010,PG-13,2014-10-24 00:00:00,5000000,89,Ouija
Comedy / Drama,42340598,R,2014-10-17 00:00:00,18000000,119,Birdman
Sci-Fi,23022309,PG-13,2014-04-18 00:00:00,100000000,120,Transcendence
Family,66954149,PG,2014-10-10 00:00:00,28000000,81,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Drama,91443253,PG,2014-04-16 00:00:00,12000000,100,Heaven is for Real
Comedy,84525432,R,2014-07-02 00:00:00,20000000,96,Tammy
Foreign,10616104,Unrated,2014-12-19 00:00:00,nan,153,P.K.
Animation,50151543,PG,2014-10-17 00:00:00,50000000,95,The Book of Life
Horror,32462372,R,2014-01-03 00:00:00,5000000,84,Paranormal Activity: The Marked Ones
Drama,54240821,PG,2014-08-08 00:00:00,22000000,122,The Hundred-Foot Journey
Horror,30577122,R,2014-07-02 00:00:00,30000000,118,Deliver Us From Evil
Western Comedy,43139300,R,2014-05-30 00:00:00,40000000,116,A Million Ways to Die in the West
Sci-Fi Action,4563650,R,2014-06-27 00:00:00,nan,126,Snowpiercer
Music Drama,14904384,PG-13,2014-08-08 00:00:00,nan,112,Step Up All In
Action,43037835,R,2014-10-24 00:00:00,20000000,96,John Wick
Drama,47119388,R,2014-10-10 00:00:00,50000000,141,The Judge
Family Comedy,51183113,PG,2014-03-21 00:00:00,50000000,112,Muppets Most Wanted
Drama,50474843,PG-13,2014-08-22 00:00:00,11000000,106,If I Stay
Action Horror,19075290,PG-13,2014-01-24 00:00:00,65000000,92,"I, Frankenstein"
Foreign,557236,Unrated,2014-02-07 00:00:00,nan,127,The Attorney
Comedy,65182182,PG-13,2014-06-20 00:00:00,24000000,106,Think Like a Man Too
Action,20396829,PG-13,2014-04-25 00:00:00,28000000,90,Brick Mansions
Foreign,1013945,R,2014-02-28 00:00:00,nan,131,Stalingrad
Drama,59700064,PG-13,2014-02-28 00:00:00,nan,138,Son of God
Musical,47047013,R,2014-06-20 00:00:00,40000000,134,Jersey Boys
Fantasy Drama,45090374,PG-13,2014-08-15 00:00:00,25000000,91,The Giver
Drama,52076908,PG-13,2014-12-25 00:00:00,20000000,127,Selma
Animation,4091,Unrated,2014-09-05 00:00:00,nan,85,Thunder and the House of Magic!
Comedy,16170632,R,2014-06-27 00:00:00,nan,104,Begin Again
Drama,60755732,PG,2014-03-21 00:00:00,2000000,113,God's Not Dead
Action / Adventure,18848538,PG-13,2014-01-10 00:00:00,70000000,99,The Legend of Hercules
Animation,174945,Unrated,2014-01-10 00:00:00,nan,106,Evangelion: 3.0 You Can
Family,42024533,PG,2014-09-12 00:00:00,36000000,107,Dolphin Tale 2
Comedy,44137712,PG-13,2014-10-10 00:00:00,nan,103,St. Vincent
Thriller,52543632,PG-13,2014-09-12 00:00:00,13200000,84,No Good Deed
Drama,26307600,R,2014-09-19 00:00:00,28000000,114,A Walk Among the Tombstones
Action Thriller,30697999,PG-13,2014-02-21 00:00:00,28000000,117,3 Days to Kill
Drama,37880356,R,2014-12-03 00:00:00,nan,115,Wild
Comedy / Drama,10539326,PG-13,2014-07-25 00:00:00,nan,98,Magic in the Moonlight
Animation,2553002,Unrated,2014-08-05 00:00:00,nan,85,Dragon Ball Z: Battle of Gods
Romantic Comedy,48637684,R,2014-02-14 00:00:00,12500000,100,About Last Night
Drama,13092000,R,2014-10-10 00:00:00,3300000,106,Whiplash
Comedy,31424003,R,2014-05-09 00:00:00,nan,115,Chef
Adventure,38934842,PG,2014-07-02 00:00:00,13000000,91,Earth to Echo
Drama,25352281,R,2014-07-11 00:00:00,4000000,166,Boyhood
Horror,27695246,R,2014-04-11 00:00:00,5000000,105,Oculus
Foreign / Action,2546172,Unrated,2014-10-02 00:00:00,nan,153,Bang Bang
Thriller,21321100,R,2014-08-29 00:00:00,nan,93,As Above/So Below
Comedy,34296320,R,2014-09-19 00:00:00,19800000,103,This is Where I Leave You
Romantic Comedy,26068955,R,2014-01-31 00:00:00,8000000,94,That Awkward Moment
Crime,13757804,R,2014-08-22 00:00:00,nan,102,Frank Miller's Sin City: A Dame to Kill For
Crime Drama,33680992,R,2014-12-25 00:00:00,25000000,111,The Gambler
Sports Drama,36457627,PG,2014-05-16 00:00:00,25000000,124,Million Dollar Arm
Crime Drama,32381217,R,2014-10-31 00:00:00,8500000,117,Nightcrawler
Horror,15821461,R,2014-01-17 00:00:00,7000000,89,Devil's Due
Thriller,17237855,R,2014-07-25 00:00:00,nan,121,A Most Wanted Man
Romance,26766213,PG-13,2014-10-17 00:00:00,26000000,117,The Best of Me
Romance,23438250,PG-13,2014-02-14 00:00:00,20000000,103,Endless Love
Music Drama,30703100,PG-13,2014-08-01 00:00:00,nan,138,Get On Up
Action,25018119,R,2014-08-27 00:00:00,nan,108,The November Man
Foreign,415775,Unrated,2014-09-05 00:00:00,nan,130,The Pirates
Fantasy,12600231,PG-13,2014-02-14 00:00:00,60000000,129,Winter's Tale
Sports Drama,30127963,PG,2014-08-22 00:00:00,15000000,115,When the Game Stands Tall
Sports Drama,28842237,PG-13,2014-04-11 00:00:00,nan,110,Draft Day
Drama,14482031,PG-13,2014-12-25 00:00:00,nan,106,Big Eyes
Foreign,136707,Unrated,2014-07-25 00:00:00,nan,118,The Divine Move
Comedy,25317379,R,2014-12-12 00:00:00,nan,101,Top Five
Foreign / Action,7679,R,2014-09-19 00:00:00,nan,105,Iceman
Comedy / Drama,15160801,PG-13,2014-07-25 00:00:00,nan,94,And So It Goes
Foreign,9572,R,2014-04-04 00:00:00,nan,96,On the Other Side of the Tracks
Foreign,10854,R,2014-04-04 00:00:00,nan,109,The Players
Animation,703232,PG,2014-10-17 00:00:00,nan,137,The Tale of The Princess Kaguya
Horror Comedy,17329486,R,2014-04-18 00:00:00,4000000,87,A Haunted House 2
Drama,4438438,R,2014-04-11 00:00:00,nan,107,The Railway Man
Foreign,218693,Unrated,2014-01-10 00:00:00,nan,137,The Suspect
Documentary,17780194,G,2014-04-18 00:00:00,nan,78,Bears
Foreign,723593,R,2014-06-25 00:00:00,nan,105,Yves Saint Laurent
Drama,13371528,PG-13,2014-01-31 00:00:00,18000000,111,Labor Day
Foreign,334616,Unrated,2014-01-17 00:00:00,nan,121,"Like Father, Like Son"
Thriller,14019924,PG-13,2014-10-03 00:00:00,16000000,105,Left Behind
Animation,8462027,PG,2014-05-09 00:00:00,70000000,88,Legends of Oz: Dorothy's Return
Crime Drama,10724389,R,2014-09-12 00:00:00,12600000,106,The Drop
Horror,8509867,PG-13,2014-04-25 00:00:00,nan,98,The Quiet Ones
Action Thriller,10508518,R,2014-03-28 00:00:00,nan,109,Sabotage
Drama,17390770,R,2014-10-10 00:00:00,nan,105,Addicted
Animation,43171,Unrated,2014-08-29 00:00:00,nan,109,Road to Ninja - Naruto the Movie
Comedy / Drama,3600006,R,2014-08-01 00:00:00,nan,100,Calvary
Horror,2756333,R,2014-12-05 00:00:00,nan,89,The Pyramid
Comedy / Drama,15973881,PG-13,2014-03-14 00:00:00,nan,111,Tyler Perry's The Single Moms Club
Foreign,3878,R,2014-01-03 00:00:00,nan,110,Beyond Outrage
Fantasy,7791979,PG-13,2014-02-07 00:00:00,nan,104,Vampire Academy
Thriller,3242457,R,2014-10-31 00:00:00,nan,92,Before I Go To Sleep
Crime,8110975,R,2014-12-12 00:00:00,nan,148,Inherent Vice
Thriller,507463,PG-13,2014-09-26 00:00:00,nan,98,The Two Faces of January
Comedy,3769873,R,2014-04-18 00:00:00,nan,90,Fading Gigolo
IMAX,0,G,2014-04-04 00:00:00,nan,39,Island of Lemurs: Madagascar
Drama,12096300,R,2014-11-14 00:00:00,nan,134,Foxcatcher
Drama / Thriller,5749134,R,2014-12-31 00:00:00,20000000,125,A Most Violent Year
Comedy,6105175,R,2014-12-25 00:00:00,nan,112,The Interview
Musical,101196,PG-13,2014-10-10 00:00:00,nan,100,One Chance
Foreign,59874,Unrated,2014-04-23 00:00:00,nan,104,Bicycling with Moliere
Drama,10726630,PG,2014-05-02 00:00:00,nan,105,Belle
Foreign,59478,Unrated,2014-09-05 00:00:00,nan,105,Wetlands
Comedy,10429707,PG,2014-05-09 00:00:00,5000000,98,Moms' Night Out
Horror,964413,Unrated,2014-11-28 00:00:00,nan,92,The Babadook
Drama,785896,Unrated,2014-03-21 00:00:00,nan,117,Nymphomaniac: Volume I
Animation,8201,PG,2014-11-11 00:00:00,nan,94,Gladiators of Rome
Foreign,303187,Unrated,2014-07-18 00:00:00,nan,94,Mood Indigo
Comedy,153426,R,2014-04-04 00:00:00,nan,90,Alan Partridge: The Movie
Drama,373605,Unrated,2014-06-20 00:00:00,nan,96,Venus in Fur
Crime,34411,R,2014-05-30 00:00:00,nan,97,Filth
Romantic Comedy,3493000,PG-13,2014-08-08 00:00:00,nan,102,What If
Foreign,615691,Unrated,2014-09-12 00:00:00,nan,102,Finding Fanny
Comedy / Drama,1446634,R,2014-09-26 00:00:00,nan,120,Pride
Foreign,338523,R,2014-05-16 00:00:00,nan,117,Chinese Puzzle
Comedy / Drama,13347,R,2014-07-11 00:00:00,nan,96,A Long Way Down
Horror,0,PG-13,2014-11-07 00:00:00,nan,90,Jessabelle
Foreign,1436243,PG-13,2014-12-24 00:00:00,nan,95,"Two Days, One Night"
Animation,71712,Unrated,2014-07-23 00:00:00,nan,120,A Letter to Momo
Drama,6382924,PG,2014-08-29 00:00:00,nan,106,Cantinflas
Foreign,342667,PG-13,2014-06-20 00:00:00,nan,84,Le Chef
Foreign / Horror,870063,R,2014-09-26 00:00:00,nan,,Mas Negro Que La Noche
Foreign,3021,Unrated,2014-03-21 00:00:00,nan,104,French Gigolo
Comedy,2880537,Unrated,2014-08-15 00:00:00,nan,,The Trip to Italy
Drama,2025328,R,2014-05-16 00:00:00,nan,120,The Immigrant
Comedy / Drama,3591299,R,2014-07-18 00:00:00,nan,114,Wish I Was Here
Drama,3958500,R,2014-12-19 00:00:00,nan,150,Mr. Turner
Sci-Fi,2614251,R,2014-04-04 00:00:00,13300000,107,Under the Skin
Drama,5284309,R,2014-09-12 00:00:00,nan,93,The Skeleton Twins
Foreign,12027,Unrated,2014-03-21 00:00:00,nan,113,The French Minister
Animation,262075,PG,2014-02-28 00:00:00,nan,80,Ernest & Celestine
Drama,510007,PG-13,2014-09-19 00:00:00,nan,102,Tracks
Comedy,266588,PG-13,2014-05-23 00:00:00,nan,95,The Love Punch
Comedy / Drama,4404154,R,2014-10-17 00:00:00,nan,100,Dear White People
Foreign,4235151,PG,2014-02-28 00:00:00,nan,104,The Lunchbox
Comedy / Drama,4013786,PG-13,2014-09-10 00:00:00,nan,107,My Old Lady
Foreign,230880,Unrated,2014-10-15 00:00:00,nan,85,Diplomacy
Fantasy Drama,173948,R,2014-10-31 00:00:00,nan,120,Horns
Foreign,3827060,PG-13,2014-05-02 00:00:00,nan,80,Ida
Foreign / Action,0,R,2014-08-22 00:00:00,nan,116,14 Blades
Foreign,1369,PG-13,2014-08-22 00:00:00,nan,96,Ragnarok
Comedy,3322127,PG-13,2014-03-14 00:00:00,6000000,107,Veronica Mars
Foreign,3494070,R,2014-09-19 00:00:00,nan,,Mommy
Animation,0,PG,2014-09-24 00:00:00,nan,89,Jack and the Cuckoo-Clock Heart
Comedy,3430018,PG-13,2014-05-30 00:00:00,nan,113,The Grand Seduction
Thriller,1008726,R,2014-03-14 00:00:00,nan,90,Enemy
Comedy / Drama,2171257,PG-13,2014-05-23 00:00:00,nan,101,Words and Pictures
Foreign / Action,2463,R,2014-05-02 00:00:00,nan,104,The Protector 2
Drama,1114423,R,2014-06-13 00:00:00,12000000,102,The Rover
Foreign,8528,Unrated,2014-09-12 00:00:00,nan,92,The Mystery of Happiness
Drama,3128941,R,2014-11-14 00:00:00,nan,103,Rosewater
Comedy,3123963,R,2014-06-06 00:00:00,nan,83,Obvious Child
Foreign,418392,PG-13,2014-04-25 00:00:00,nan,93,The German Doctor
Documentary,2800870,R,2014-10-24 00:00:00,nan,114,Citizenfour
Foreign,150275,Unrated,2014-06-13 00:00:00,nan,83,A Coffee in Berlin
Drama,2722209,PG-13,2014-10-03 00:00:00,nan,110,The Good Lie
Foreign / Action,2627209,R,2014-03-28 00:00:00,nan,148,The Raid 2
Foreign,11600,Unrated,2014-06-27 00:00:00,nan,108,Living is Easy with Eyes Closed
Foreign,306917,Unrated,2014-07-18 00:00:00,nan,85,A Five Star Life
Foreign,2472695,Unrated,2014-07-25 00:00:00,nan,150,Kick
Thriller,2450846,R,2014-10-10 00:00:00,nan,112,Kill the Messenger
Western,2429989,R,2014-11-14 00:00:00,nan,122,The Homesman
Crime Drama,42472,R,2014-03-21 00:00:00,nan,144,Blood Ties
Thriller,332890,R,2014-09-17 00:00:00,nan,99,The Guest
Foreign,11616,Unrated,2014-10-24 00:00:00,nan,108,Life of Riley
Foreign,2300121,Unrated,2014-12-25 00:00:00,nan,126,Ode to My Father
Drama,2262223,R,2014-08-22 00:00:00,nan,98,Love is Strange
Foreign,9781,Unrated,2014-07-04 00:00:00,nan,93,Marius
Drama,705908,R,2014-10-01 00:00:00,nan,,"Men, Women & Children"
Foreign,2238174,Unrated,2014-04-18 00:00:00,nan,135,2 States
Drama,327167,Unrated,2014-04-04 00:00:00,nan,124,Nymphomaniac: Volume II
Romance,2225098,R,2014-03-14 00:00:00,nan,93,Le Week-End
Foreign,2107925,R,2014-01-24 00:00:00,nan,110,Gloria
Documentary,279558,Unrated,2014-09-17 00:00:00,nan,97,"20,000 Days on Earth"
Drama,1879534,R,2014-04-11 00:00:00,7000000,123,Only Lovers Left Alive
Horror,1826705,R,2014-09-19 00:00:00,nan,102,Tusk
Documentary,1539680,PG,2014-10-10 00:00:00,nan,87,Awake: The Life of Yogananda
Documentary,1538899,PG,2014-05-09 00:00:00,nan,92,Fed Up
Documentary,1514782,Unrated,2014-03-28 00:00:00,nan,84,Finding Vivian Maier
Drama,125106,PG-13,2014-04-18 00:00:00,nan,110,Make Your Move
Foreign,0,Unrated,2014-04-25 00:00:00,nan,94,Bright Days Ahead
Thriller,1375769,R,2014-04-25 00:00:00,nan,85,Locke
Foreign,1359497,R,2014-10-24 00:00:00,nan,118,Force Majeure
Animation,1519,Unrated,2014-06-27 00:00:00,nan,88,Postman Pat: The Movie
Foreign,75531,Unrated,2014-03-21 00:00:00,nan,105,Just a Sigh
Foreign,1264515,Unrated,2014-01-24 00:00:00,nan,135,Jai Ho
Foreign,32286,Unrated,2014-05-02 00:00:00,nan,110,For a Woman
Foreign / Action,1232018,Unrated,2014-08-15 00:00:00,nan,142,Singham Returns
Foreign,0,Unrated,2014-11-07 00:00:00,nan,129,Why Don't You Play in Hell
Horror Thriller,1169603,PG-13,2014-09-05 00:00:00,nan,87,The Remaining
Foreign,101451,Unrated,2014-11-07 00:00:00,nan,95,The Way He Looks
Foreign,56773,Unrated,2014-04-04 00:00:00,nan,99,Ilo Ilo
Drama,1124445,R,2014-09-19 00:00:00,nan,114,Hector And The Search For Happiness
Foreign,1092800,R,2014-12-25 00:00:00,nan,140,Leviathan
Thriller,1075178,Unrated,2014-09-05 00:00:00,nan,112,The Captive
Romantic Comedy,1066981,R,2014-10-24 00:00:00,nan,100,Laggies
