genre,dtg,mpaa,releasedate,budget,runtime,title
Comedy,64460211,R,2015-01-16 00:00:00,23000000,101,The Wedding Ringer
Horror,18300124,R,2015-10-23 00:00:00,10000000,95,Paranormal Activity: The Ghost Dimension
Horror,31090320,R,2015-10-16 00:00:00,55000000,119,Crimson Peak
Action,16029670,PG-13,2015-09-04 00:00:00,nan,96,The Transporter Refueled
Action,26461644,R,2015-03-13 00:00:00,50000000,114,Run All Night
Drama,67790117,PG,2015-08-28 00:00:00,3000000,120,War Room
Drama,42629776,PG-13,2015-04-24 00:00:00,nan,112,The Age of Adaline
Drama,11114018,R,2015-11-27 00:00:00,nan,120,The Danish Girl
Horror,32482090,R,2015-04-17 00:00:00,1000000,83,Unfriended
Romance,37446117,PG-13,2015-04-10 00:00:00,34000000,139,The Longest Ride
Drama,38322743,PG-13,2015-11-04 00:00:00,nan,111,Brooklyn
Animation,8008363,Unrated,2015-08-04 00:00:00,nan,105,Dragon Ball Z: Resurrection 'F'
Drama,33307793,PG-13,2015-04-01 00:00:00,11000000,109,Woman in Gold
Horror Comedy,42725475,PG-13,2015-12-04 00:00:00,15000000,98,Krampus
Adventure,10137502,PG,2015-09-30 00:00:00,35000000,123,The Walk
Thriller,57027435,PG-13,2015-09-11 00:00:00,12000000,100,The Perfect Guy
Thriller,43787265,R,2015-08-07 00:00:00,5000000,108,The Gift
Action,27288872,R,2015-08-26 00:00:00,nan,101,No Escape
Horror,27740955,R,2015-08-21 00:00:00,10000000,97,Sinister 2
Musical,4364639,Unrated,2015-11-12 00:00:00,nan,171,Prem Ratan Dhan Payo
Thriller,35423380,R,2015-01-23 00:00:00,4000000,91,The Boy Next Door
Comedy,43047372,R,2015-11-20 00:00:00,25000000,101,The Night Before
Comedy,34580201,PG-13,2015-05-08 00:00:00,35000000,87,Hot Pursuit
Foreign,944193,R,2015-05-01 00:00:00,nan,114,The 100-Year Old Man Who Climbed Out the Window and Disappeared
Drama,696717,Unrated,2015-12-18 00:00:00,nan,125,The Himalayas
Comedy,32363404,R,2015-06-03 00:00:00,30000000,104,Entourage
Horror,26501323,PG-13,2015-01-02 00:00:00,nan,98,The Woman in Black 2: Angel of Death
Drama,34542474,PG-13,2015-12-25 00:00:00,35000000,123,Concussion
Action Comedy,7696134,R,2015-01-23 00:00:00,60000000,106,Mortdecai
Foreign,377607,PG-13,2015-09-09 00:00:00,nan,109,Coming Home
Sports Drama,44482410,PG,2015-02-20 00:00:00,nan,128,"McFarland, USA"
Family,42656255,PG,2015-06-26 00:00:00,20000000,111,Max
Drama,18754371,PG-13,2015-01-16 00:00:00,5000000,101,Still Alice
Comedy,34030343,PG-13,2015-02-20 00:00:00,8500000,101,The DUFF
Crime Drama,1872994,R,2015-11-20 00:00:00,nan,131,Legend
Horror,22764410,R,2015-07-10 00:00:00,100000,81,The Gallows
Comedy,26302731,PG-13,2015-11-13 00:00:00,17000000,107,Love the Coopers
Drama,10021175,PG-13,2015-12-04 00:00:00,nan,104,The Lady in the Van
Comedy / Drama,26822144,PG-13,2015-08-07 00:00:00,18000000,101,Ricki and the Flash
Drama,12711491,R,2015-11-20 00:00:00,nan,118,Carol
Horror,25801047,PG-13,2015-02-27 00:00:00,3300000,83,The Lazarus Effect
War Drama,4196641,R,2015-04-24 00:00:00,22500000,111,The Water Diviner
Sci-Fi Thriller,25442958,R,2015-04-10 00:00:00,15000000,110,Ex Machina
Comedy,13651946,R,2015-10-30 00:00:00,20000000,100,Burnt
Comedy,29504281,R,2015-09-02 00:00:00,nan,104,A Walk in the Woods
Drama,14677654,R,2015-10-16 00:00:00,nan,118,Room
Drama,17766658,R,2015-10-09 00:00:00,30000000,122,Steve Jobs
Drama,5775076,PG-13,2015-11-25 00:00:00,nan,109,Victor Frankenstein
Sci-Fi,22348241,PG-13,2015-01-30 00:00:00,12000000,106,Project Almanac
Thriller,20180155,PG-13,2015-11-20 00:00:00,19500000,111,The Secret in their Eyes
Sci-Fi Thriller,12279691,PG-13,2015-07-10 00:00:00,26000000,117,Self/Less
Drama,12236500,PG-13,2015-05-01 00:00:00,nan,119,Far from the Madding Crowd
Crime Drama,17737646,PG,2015-07-17 00:00:00,nan,103,Mr. Holmes
Music Drama,12551031,PG-13,2015-06-05 00:00:00,nan,121,Love & Mercy
Comedy,4030360,R,2015-07-17 00:00:00,nan,96,Irrational Man
Action Comedy,14440985,R,2015-08-21 00:00:00,28000000,96,American Ultra
Foreign,3106530,R,2015-02-20 00:00:00,nan,122,Wild Tales
Comedy / Drama,21067116,PG-13,2015-05-29 00:00:00,37000000,105,Aloha
Romantic Comedy,20431,R,2015-02-06 00:00:00,nan,102,"Love, Rosie"
Drama,12227722,PG-13,2015-11-13 00:00:00,nan,120,The 33
Thriller,10664749,R,2015-03-20 00:00:00,40000000,115,The Gunman
Comedy,286639,Unrated,2015-08-14 00:00:00,nan,85,Go Away Mr. Tumor
Drama,21571189,PG-13,2015-01-30 00:00:00,9000000,121,Black or White
Thriller,8005980,R,2015-01-16 00:00:00,70000000,135,Blackhat
Comedy / Drama,17506470,R,2015-06-19 00:00:00,7000000,115,Dope
Action Drama,613775,Unrated,2015-08-14 00:00:00,nan,156,Brothers: Blood Against Blood
Comedy / Drama,7587485,R,2015-03-27 00:00:00,nan,94,While We're Young
Documentary,16432322,G,2015-04-17 00:00:00,nan,81,Monkey Kingdom
Drama,1110707,R,2015-12-04 00:00:00,nan,110,Macbeth
Drama,4702420,PG-13,2015-10-23 00:00:00,nan,106,Suffragette
Horror Comedy,3703046,R,2015-10-30 00:00:00,15000000,93,Scouts Guide to the Zombie Apocalypse
Horror,14674076,R,2015-03-13 00:00:00,nan,97,It Follows
Comedy,10219501,R,2015-03-06 00:00:00,35000000,91,Unfinished Business
Drama,14394097,PG,2015-10-16 00:00:00,nan,123,Woodlawn
Animation,12429583,PG,2015-01-23 00:00:00,nan,99,Strange Magic
Comedy,12314651,R,2015-02-20 00:00:00,14000000,93,Hot Tub Time Machine 2
Drama,12985600,PG-13,2015-03-20 00:00:00,nan,120,Do You Believe?
Drama,1224330,R,2015-04-17 00:00:00,nan,137,Child 44
Drama,3591417,R,2015-08-28 00:00:00,nan,96,We Are Your Friends
Comedy / Drama,5637066,R,2015-03-20 00:00:00,10000000,106,Danny Collins
Foreign / Action,129784,Unrated,2015-04-24 00:00:00,nan,100,Kung Fu Killer
Drama,558173,R,2015-06-26 00:00:00,nan,117,A Little Chaos
Thriller,6002684,R,2015-01-30 00:00:00,nan,108,The Loft
Adventure,173564,PG,2015-07-31 00:00:00,nan,105,The Young & Prodigious T.S. Spivet
Period Drama,46425,R,2015-10-02 00:00:00,nan,104,Shanghai
Animation,9080818,PG-13,2015-09-04 00:00:00,5300000,98,Un Gallo con Muchos Huevos
Drama,6758416,PG-13,2015-06-12 00:00:00,8000000,104,Me and Earl and the Dying Girl
Documentary,8413144,R,2015-07-03 00:00:00,nan,128,Amy
Animation,6690,PG,2015-12-04 00:00:00,nan,97,Capture the Flag
Romantic Comedy,521794,Unrated,2015-10-22 00:00:00,nan,144,Shaandaar
Drama,7857741,R,2015-11-06 00:00:00,nan,124,Trumbo
Drama,8178001,Unrated,2015-07-17 00:00:00,nan,163,Bajrangi Bhaijaan
Comedy / Drama,7449681,PG-13,2015-05-15 00:00:00,nan,92,I'll See You In My Dreams
Horror,7192291,R,2015-09-25 00:00:00,5000000,100,The Green Inferno
Comedy,6980524,R,2015-08-21 00:00:00,600000,78,Grandma
Comedy / Drama,7002261,R,2015-10-30 00:00:00,28000000,108,Our Brand Is Crisis
Action / Adventure,6738000,Unrated,2015-07-09 00:00:00,nan,159,Baahubali: The Beginning
Drama,6557047,Unrated,2015-12-18 00:00:00,nan,150,Bajirao Mastani
Drama,6485961,PG-13,2015-04-24 00:00:00,nan,106,Little Boy
Comedy,3469224,R,2015-02-13 00:00:00,nan,86,What We Do in the Shadows
Drama,2436633,PG-13,2015-09-16 00:00:00,nan,114,Pawn Sacrifice
Drama,176391,R,2015-03-27 00:00:00,nan,109,Serena
